Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
75	120083.45	23.911886	120113.12	120047.836	120083.48	48.297626	120144.46	119959.97	1000.0	1000.0	299999	10942.982	391.5131	12406.3	7661.488	10942.983	391.49963	12218.079	7679.5444	49.001194	5.6638274	76.838066	10.366676	-10931.51	1145.3607	6428.279118537903
76	120124.234	33.83734	120181.305	120092.68	120123.89	28.77367	120176.2	120090.92	1000.0	1000.0	303999	10945.961	384.03113	11748.107	7470.631	10945.96	384.08112	13059.193	6761.9927	49.229614	5.739358	73.83265	7.480715	-10934.024	1195.506	6513.871826887131
77	120013.21	106.934296	120161.87	119890.34	120072.875	44.63201	120139.305	120019.94	1000.0	1000.0	307999	10948.584	377.4047	13802.079	7262.453	10948.59	377.34058	12678.607	7226.5317	48.946545	5.675299	75.11145	9.419306	-10937.124	1246.6499	6599.892221927643
78	120109.18	48.97381	120179.25	120040.87	120081.04	58.733624	120149.66	119973.85	1000.0	1000.0	311999	10949.441	375.13605	11928.5625	7731.6455	10949.431	375.3069	13666.506	7108.805	49.401024	5.67952	75.230576	13.778931	-10937.41	1135.9408	6685.865045547485
79	120026.96	63.45525	120107.25	119929.625	120136.89	34.998394	120199.57	120079.59	1000.0	1000.0	315999	10950.326	369.8894	12286.978	7474.1396	10950.324	369.8675	12137.262	7670.0254	49.042927	5.724803	73.342705	11.251648	-10938.301	1129.6747	6771.585303544998
80	120079.35	72.396034	120157.96	119973.75	120048.23	69.286674	120152.08	119888.51	1000.0	1000.0	319999	10948.287	371.85266	12068.328	7718.3716	10948.283	371.9332	13476.122	7667.23	49.110985	5.765155	74.5552	10.298447	-10935.802	1126.4772	6856.936106681824
81	120075.06	59.21532	120124.2	119975.27	120136.8	26.842377	120171.23	120081.086	1000.0	1000.0	323999	10947.724	368.78198	11838.395	7130.9673	10947.717	368.8202	12458.536	7186.6772	49.35876	5.720522	75.424995	9.811924	-10935.509	1184.4034	6942.2444887161255
82	120152.37	38.297226	120191.875	120113.83	120177.81	34.419434	120257.88	120126.04	1000.0	1000.0	327999	10949.095	368.5834	12366.272	7715.926	10949.096	368.5895	12621.136	7683.3027	49.58463	5.7932982	75.01223	4.6849537	-10937.319	1034.6321	7027.941208124161
83	120046.33	94.15313	120151.484	119905.64	120103.375	45.529316	120183.61	120021.71	1000.0	1000.0	331999	10949.517	369.78165	11978.6875	7667.126	10949.517	369.82007	11736.661	7587.3413	49.22566	5.6902747	71.47205	12.7502	-10937.575	1064.0701	7114.439298391342
84	119939.93	236.84811	120206.81	119624.07	120129.67	47.509705	120163.47	119995.05	1000.0	1000.0	335999	10949.98	367.62152	11648.01	7261.0415	10949.981	367.6333	11713.992	7056.479	49.317776	5.6451	77.06863	13.5408325	-10938.028	1127.0892	7199.416275501251
85	120047.39	93.67289	120184.56	119921.375	119894.67	67.53426	119965.89	119724.836	1000.0	1000.0	339999	10949.751	366.80685	12589.252	6186.5674	10949.747	366.90967	12294.807	5957.21	49.54745	5.695069	75.29045	9.51498	-10937.488	1239.9292	7286.256367683411
86	119882.59	48.00137	119956.3	119839.05	120096.164	35.698696	120169.63	120056.7	1000.0	1000.0	343999	10949.765	364.91333	11943.452	7530.6567	10949.768	364.8967	11439.417	7252.3447	49.202995	5.570717	80.233	8.933004	-10937.828	1013.76074	7370.939020395279
87	120099.34	26.854876	120128.32	120065.04	120112.58	37.3724	120170.61	120051.2	1000.0	1000.0	347999	10949.558	364.8072	11761.699	7653.572	10949.559	364.81387	11971.592	7501.798	49.72527	5.700463	73.760864	6.7392826	-10938.04	1080.4745	7455.886197566986
88	120129.516	60.54685	120219.9	120063.24	120129.45	26.624104	120181.83	120083.44	1000.0	1000.0	351999	10948.423	365.01852	12236.334	6778.845	10948.425	365.0216	12468.672	7444.122	49.80703	5.6979647	73.56536	11.896465	-10935.914	1002.24133	7540.7614958286285
89	120066.74	19.872042	120092.15	120040.81	120124.98	35.694454	120161.88	120036.79	1000.0	1000.0	355999	10951.256	357.91556	13788.911	7463.4604	10951.259	357.97195	14012.206	7376.282	49.403713	5.6721897	74.31957	10.366535	-10940.258	1298.6123	7625.8974986076355
90	120099.42	55.574085	120159.664	120008.59	120090.21	32.935707	120135.95	120033.625	1000.0	1000.0	359999	10949.776	358.17276	12802.885	7534.599	10949.763	358.20212	12786.238	7472.163	49.354256	5.6765227	76.82063	6.205536	-10937.618	1239.815	7711.647238969803
