Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
62	3116.1743	208.98918	3373.2114	2824.0042	2915.9622	214.06267	3271.113	2671.1833	1000.0	1000.0	247999	225.6694	225.66914	-225.20935	15.205551	1.6711055	0.052051507	1.8822733	1.5104594	0.5251402	0.038486842	0.6313786	0.43997392	5734.561106443405
63	3190.5405	63.791134	3268.498	3106.7944	2931.4978	113.2821	3103.4102	2751.1646	1000.0	1000.0	251999	226.339	226.33919	-225.85123	15.36573	1.6694981	0.052266728	1.8873754	1.4849752	0.53906685	0.01886846	0.573179	0.48094073	5827.636764764786
64	3219.3823	121.36445	3337.9387	3016.4197	3237.0952	170.35498	3431.5667	2982.6418	1000.0	1000.0	255999	227.88075	227.8808	-227.38943	15.520359	1.6698394	0.058273148	1.8727934	1.4676707	0.5451908	0.041641027	0.6439814	0.47618684	5920.995892763138
65	3128.4746	132.2316	3309.0984	2948.4854	3090.5986	150.33138	3250.6172	2741.529	1000.0	1000.0	259999	230.0111	230.01146	-229.57994	14.879268	1.6698625	0.0521176	1.8461479	1.511409	0.53171813	0.0210979	0.57162815	0.4728908	6014.28417634964
66	3004.4263	307.56003	3495.3513	2683.2058	3274.8127	118.40791	3448.861	3037.9229	1000.0	1000.0	263999	232.03094	232.0313	-231.62569	15.11117	1.6695755	0.052051798	1.8564389	1.4528646	0.5054401	0.0214116	0.5491023	0.45474547	6107.09489774704
67	3296.5625	182.00443	3561.3875	3094.2427	3065.065	138.358	3275.5276	2812.8943	1000.0	1000.0	267999	234.19965	234.19972	-233.81355	14.352684	1.6709666	0.052397877	1.8627914	1.4679482	0.51297545	0.033889744	0.58437175	0.4515811	6199.823481321335
68	3301.6355	140.22104	3474.3005	3130.5361	3000.7842	248.83728	3292.405	2494.8145	1000.0	1000.0	271999	236.46338	236.46355	-236.04475	14.59798	1.6707615	0.05185662	1.8707564	1.4797553	0.51991135	0.030348998	0.5824366	0.45175603	6292.820353507996
69	3173.8135	118.04328	3371.7485	3062.8237	3088.1887	185.458	3419.482	2792.442	1000.0	1000.0	275999	238.65172	238.65208	-238.20038	14.98193	1.6687526	0.051561665	1.8735727	1.4709674	0.55107117	0.032666028	0.64343435	0.4974072	6386.224359035492
70	3130.8154	31.572504	3167.7783	3097.0425	3306.4492	120.53078	3485.1216	3013.9822	1000.0	1000.0	279999	240.33565	240.33574	-239.84822	14.595947	1.6703677	0.05349566	1.8920354	1.4748516	0.5394294	0.031201065	0.6332718	0.48072553	6478.691620826721
71	3118.4934	215.0948	3361.0002	2884.1458	3196.4136	123.75706	3365.9407	2955.6675	1000.0	1000.0	283999	241.97534	241.97523	-241.47476	14.433088	1.6710916	0.050954245	1.8816053	1.461382	0.5260374	0.021405028	0.576165	0.48461747	6571.540157079697
72	3125.5103	89.486084	3246.2312	3009.21	3347.5632	83.53992	3493.7944	3173.0715	1000.0	1000.0	287999	242.83646	242.83688	-242.40297	14.126286	1.6694546	0.05143029	1.8909247	1.513163	0.50457793	0.031992357	0.5734825	0.43314976	6664.895985126495
73	3169.9563	101.07957	3278.9463	3031.7056	3187.9172	80.04614	3269.0854	3043.2961	1000.0	1000.0	291999	244.34055	244.34064	-243.89055	14.198145	1.6692666	0.05042879	1.8830128	1.4839157	0.507341	0.019309701	0.561353	0.47040245	6758.051576375961
74	3225.6638	184.81943	3422.4329	3023.73	3175.632	142.90631	3340.8071	2915.709	1000.0	1000.0	295999	245.83286	245.83322	-245.42686	13.910213	1.6682023	0.050163295	1.849506	1.4999543	0.47300234	0.031816784	0.5463405	0.4177525	6851.155460834503
75	3471.2798	88.902466	3613.6714	3382.9382	3393.627	52.115402	3459.8728	3293.5723	1000.0	1000.0	299999	246.94652	246.9464	-246.53407	13.910552	1.6712224	0.051024795	1.8680726	1.4779798	0.4809613	0.034379438	0.5467319	0.42299807	6944.412612199783
76	3405.6108	126.63155	3513.4014	3194.1853	3475.7388	64.656586	3568.3992	3369.78	1000.0	1000.0	303999	248.41553	248.4155	-248.05339	13.866008	1.6677142	0.050401084	1.8648615	1.505247	0.439227	0.024335248	0.50595826	0.40468872	7037.252460241318
77	3320.934	257.94052	3516.1133	2877.7212	3278.1138	64.69942	3388.844	3181.9993	1000.0	1000.0	307999	249.60304	249.6029	-249.23546	13.197366	1.671832	0.051557526	1.8495739	1.4962273	0.44900852	0.02360355	0.49737582	0.40109354	7130.4160895347595
78	3343.0737	50.813522	3395.0063	3272.119	3250.2231	82.070244	3375.5112	3126.6855	1000.0	1000.0	311999	251.25851	251.259	-250.904	13.51709	1.6698827	0.052158993	1.8631921	1.4432905	0.44634327	0.027010007	0.5118698	0.40638885	7223.792995691299
79	3216.6265	132.9643	3431.806	3067.669	3364.9067	104.27126	3531.8904	3149.28	1000.0	1000.0	315999	252.61395	252.61407	-252.25175	13.898131	1.6682345	0.0553287	1.8662082	1.4753875	0.43967968	0.03156303	0.50357777	0.38326275	7316.783288002014
80	3316.5535	92.499565	3447.508	3197.9854	3369.7075	92.530685	3498.4426	3234.6965	1000.0	1000.0	319999	253.96024	253.9606	-253.61644	13.948475	1.6711651	0.05098962	1.8617136	1.4561957	0.45091468	0.03736236	0.54006916	0.40044996	7410.622114181519
81	3260.6428	68.2752	3368.1946	3183.6763	3441.6133	67.00326	3551.7593	3313.4377	1000.0	1000.0	323999	256.92926	256.9294	-256.58206	14.006591	1.6716877	0.051062744	1.8588438	1.4941007	0.46922687	0.021265011	0.5216233	0.41648608	7503.864362239838
82	3428.901	78.18605	3549.9197	3331.4412	3401.9133	118.44555	3562.1226	3129.4138	1000.0	1000.0	327999	258.98773	258.9877	-258.60034	13.547918	1.6691324	0.051181782	1.8310674	1.459305	0.4808974	0.02006934	0.5217672	0.43801987	7596.992925167084
83	3321.3936	130.5367	3535.8904	3190.2983	3430.058	92.14852	3584.1328	3288.5076	1000.0	1000.0	331999	260.568	260.56778	-260.19482	13.398771	1.6692556	0.054215	1.8702549	1.4889637	0.44528967	0.043883767	0.56991166	0.38642105	7690.00204205513
84	3279.802	208.94456	3544.3992	2983.1338	3148.8828	126.191345	3331.432	2930.4697	1000.0	1000.0	335999	261.19934	261.1995	-260.78693	12.94151	1.6701164	0.05242454	1.8359709	1.4758748	0.46013385	0.015378764	0.500663	0.42920196	7782.973625659943
85	3197.4321	114.21858	3339.519	3020.828	3317.841	84.34923	3478.154	3222.1982	1000.0	1000.0	339999	262.05673	262.05634	-261.63055	13.057652	1.66976	0.05240083	1.8366102	1.4713883	0.4647908	0.02123254	0.5123259	0.4172421	7875.998965263367
86	3482.0298	41.112217	3521.4246	3414.6497	3356.554	135.46603	3525.515	3115.7817	1000.0	1000.0	343999	262.97232	262.9722	-262.56757	12.716009	1.6688884	0.05222704	1.8513708	1.486219	0.44874716	0.022222854	0.5006623	0.40523273	7969.675368785858
87	3416.2488	137.16417	3585.9458	3216.418	3356.4773	107.323265	3535.5647	3203.3496	1000.0	1000.0	347999	263.69632	263.69647	-263.30682	12.812515	1.6700115	0.05210882	1.876397	1.4717319	0.4459491	0.019463314	0.492296	0.40644562	8062.920648097992
