Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
116	218291.97	74045.75	275724.97	92624.78	248307.53	25761.371	270569.78	177230.83	1000.0	1000.0	463999	886.17	886.1705	-881.40247	329.47812	3.9965324	1.3606929	23740.87722992897
117	250728.3	6757.9062	257478.61	240111.64	246459.33	17884.758	278661.9	222690.5	1000.0	1000.0	467999	886.7318	886.7299	-882.0769	322.07562	4.0031195	1.2943372	23975.514425754547
118	250010.34	6447.174	255100.45	238947.31	248900.3	15578.834	277855.97	232826.19	1000.0	1000.0	471999	888.01666	888.0152	-883.35785	323.10175	3.9974551	1.2798598	24209.723523378372
119	246952.69	30650.213	274587.6	198865.08	244731.62	27780.08	282848.16	199160.11	1000.0	1000.0	475999	888.5247	888.5237	-883.7538	327.39587	3.997566	1.3108841	24443.490290403366
120	254372.94	22105.916	287462.78	234259.92	231096.1	52455.293	279862.34	84741.44	1000.0	1000.0	479999	889.4797	889.48114	-884.6294	334.15063	4.003512	1.3456551	24676.3484518528
121	246328.23	38900.035	295338.34	198702.53	246072.78	23080.717	277052.34	211435.48	1000.0	1000.0	483999	891.0456	891.04486	-886.11676	339.39914	3.996712	1.359597	24908.005831241608
122	269649.12	18262.28	294061.1	251534.77	262085.78	18495.805	284153.62	227116.77	1000.0	1000.0	487999	894.4736	894.473	-889.3313	338.45538	4.0008707	1.4341111	25141.246649980545
123	263452.3	8008.0522	273081.2	253480.27	257176.0	20821.729	282630.34	214280.53	1000.0	1000.0	491999	897.15216	897.15027	-892.33563	337.4685	4.000125	1.3386774	25375.296944618225
124	258337.03	22024.773	294165.8	236310.78	263325.53	14831.986	281363.22	230497.98	1000.0	1000.0	495999	901.89435	901.8954	-896.827	345.28183	4.003567	1.3942001	25608.955687761307
125	259009.2	10456.287	269409.03	245765.38	251235.33	15585.755	275778.22	225209.58	1000.0	1000.0	499999	903.5072	903.5076	-898.355	341.22134	4.000751	1.4144397	25845.838185548782
126	248996.16	22222.137	279911.34	221953.34	241837.55	32433.838	291812.78	177712.45	1000.0	1000.0	503999	906.2917	906.29114	-901.288	340.53006	4.0001826	1.360229	26081.851722717285
127	238961.19	21366.854	265012.03	213012.14	265323.12	23133.736	292312.88	213263.94	1000.0	1000.0	507999	907.04987	907.04913	-901.9125	345.41925	3.9977598	1.3734375	26318.749717473984
128	240216.89	9417.911	255510.86	229786.23	251777.0	19840.537	287600.06	231499.61	1000.0	1000.0	511999	908.877	908.8761	-903.63513	354.60477	4.00082	1.4412793	26553.97891354561
129	264474.47	9279.629	273961.47	249172.45	252205.34	17406.602	290050.12	229588.95	1000.0	1000.0	515999	912.8609	912.86066	-907.65216	352.79556	3.9948545	1.4184211	26790.032827615738
130	265540.56	11653.047	284996.38	254251.77	261739.05	18061.58	291589.16	239322.3	1000.0	1000.0	519999	915.0366	915.0378	-909.99536	349.66644	4.0012565	1.3587804	27027.07582640648
131	238787.05	63777.125	290521.66	133174.42	256995.33	18580.863	290693.53	226397.9	1000.0	1000.0	523999	916.8692	916.86743	-911.4525	347.8416	3.9998028	1.4465752	27265.095561027527
132	269360.12	14738.311	289583.7	249143.92	274253.62	16823.285	298064.56	237823.33	1000.0	1000.0	527999	919.54553	919.5465	-914.22754	351.3053	4.0050364	1.4350623	27503.15928053856
