Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
119	220450.0	20705.457	252692.92	198915.31	215754.84	17879.342	244109.8	192071.83	1000.0	1000.0	475999	741.23584	741.23706	-735.388	434.23456	3.9965549	1.3496118	27828.534021615982
120	216183.58	27658.275	254205.77	182893.4	230949.72	16245.04	246449.5	196238.36	1000.0	1000.0	479999	741.2273	741.22626	-735.5116	427.42258	4.0046864	1.2972072	28069.012551784515
121	239641.06	11833.676	260134.12	232468.89	208903.11	20015.078	244272.64	172877.14	1000.0	1000.0	483999	741.8148	741.81586	-736.0501	424.40335	3.9966097	1.3177171	28307.283925056458
122	233868.98	7065.592	243126.25	223606.73	218267.42	32378.766	252503.06	151134.34	1000.0	1000.0	487999	742.7641	742.7644	-736.8608	431.8281	3.9985216	1.3530674	28547.59287428856
123	209687.53	28637.674	239165.25	173801.8	220908.66	27616.258	265790.8	181732.8	1000.0	1000.0	491999	744.2648	744.2649	-738.3335	435.7535	4.0019016	1.3565958	28784.57151889801
124	240332.66	8715.26	248278.39	225589.22	231914.17	26392.93	270292.03	185210.94	1000.0	1000.0	495999	745.2035	745.20435	-739.15594	444.62097	3.9972448	1.374566	29023.92851781845
125	227183.38	29902.645	250742.3	175954.94	217362.33	17302.316	257701.73	184697.42	1000.0	1000.0	499999	747.4649	747.46533	-741.4989	450.24606	3.9980567	1.3711426	29261.898920059204
126	224576.95	42484.32	260741.75	152559.55	244060.95	14105.078	268549.7	220624.44	1000.0	1000.0	503999	748.00494	748.00354	-742.0946	447.2615	4.0092926	1.3426619	29500.914994955063
127	235773.03	20127.764	262260.7	215885.06	249011.75	15546.854	272994.44	219973.5	1000.0	1000.0	507999	749.6493	749.64954	-743.71423	442.351	3.9971654	1.3348333	29739.416474819183
128	232256.14	13562.084	252102.97	215843.45	232896.62	19961.818	266029.22	212295.6	1000.0	1000.0	511999	750.81793	750.81934	-744.8148	437.0135	3.996023	1.3637012	29975.548047304153
129	222306.44	12387.797	237821.55	208513.55	242743.25	22418.152	280864.12	209855.03	1000.0	1000.0	515999	753.82794	753.82825	-747.82837	435.48303	4.0012226	1.3734472	30211.68263554573
130	226133.02	22033.543	249237.17	189995.58	240884.45	16255.895	263537.6	216648.44	1000.0	1000.0	519999	756.50073	756.49994	-750.65076	445.40512	4.000647	1.3212768	30447.665057182312
131	227113.8	12777.147	239598.12	209452.28	225737.75	26388.035	265911.94	177594.17	1000.0	1000.0	523999	756.879	756.8798	-750.7389	446.57162	3.998527	1.3764467	30684.467797517776
132	256617.61	5282.8438	262495.2	249269.9	228285.38	17640.719	252022.45	195167.67	1000.0	1000.0	527999	757.4961	757.4944	-751.4024	442.19952	3.9988194	1.3490129	30919.05254793167
133	228896.69	13759.679	245802.47	210873.7	227599.97	24798.791	263868.72	172257.42	1000.0	1000.0	531999	756.949	756.9504	-750.6131	442.0889	4.0049543	1.4200113	31153.616873025894
134	256338.14	11708.533	275012.66	242675.69	236675.08	15900.149	264546.1	214833.27	1000.0	1000.0	535999	759.4021	759.402	-753.03687	438.4458	3.9957714	1.4482133	31388.442106962204
135	239307.0	22580.127	260095.53	201627.19	241711.9	9975.894	264593.62	226497.39	1000.0	1000.0	539999	762.08875	762.09064	-756.1205	436.4556	4.0049524	1.3422807	31621.792378664017
136	252697.62	9809.926	260402.61	236295.02	239317.7	21830.91	266388.4	205265.75	1000.0	1000.0	543999	763.73785	763.73773	-757.32574	436.59857	3.9991567	1.4258549	31856.803019285202
137	233441.84	20630.281	250962.42	200181.45	233634.22	19676.584	267379.1	197684.73	1000.0	1000.0	547999	765.41986	765.41846	-759.36676	437.41074	3.9980474	1.3465719	32091.01238012314
138	249783.56	20868.121	270480.1	219559.42	247219.22	20273.654	272334.0	199134.72	1000.0	1000.0	551999	767.0226	767.02216	-760.6285	438.8351	3.9981995	1.4358728	32326.339464187622
139	215703.39	11135.721	232594.53	203491.72	242276.84	17324.152	271249.72	221737.45	1000.0	1000.0	555999	769.23773	769.2407	-762.87854	439.6746	4.0030255	1.4311037	32560.8753221035
