Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	$\alpha$	Time
103	241717.72	48647.26	283949.03	162298.69	232700.2	40664.934	281791.1	157236.33	1000.0	1000.0	411999	915.7935	915.79474	-911.70624	401.447	3.995219	1.2848955	21491.31910777092
104	284719.47	11129.748	303238.66	274372.3	280937.06	17167.854	306866.97	245488.34	1000.0	1000.0	415999	919.8963	919.89685	-915.73016	405.5467	4.0094786	1.2889726	21725.160045862198
105	244933.38	49839.64	294940.03	164291.17	250891.28	27622.86	301338.7	201924.56	1000.0	1000.0	419999	923.69806	923.6992	-919.54364	399.80038	4.004477	1.2994189	21956.481023550034
106	265384.38	32438.658	295327.06	211807.53	226043.47	33229.98	283336.3	181508.5	1000.0	1000.0	423999	926.63135	926.6316	-922.4692	396.0045	3.99258	1.2946092	22189.471906900406
107	233949.72	31608.506	272318.28	201699.61	267624.44	13290.479	282593.75	235356.47	1000.0	1000.0	427999	929.94415	929.9447	-925.7414	415.1034	3.9988115	1.290988	22421.936077594757
108	284885.94	9726.233	300586.72	273941.44	273445.56	32948.676	300219.0	180813.42	1000.0	1000.0	431999	934.6558	934.6565	-930.4917	425.7623	4.005288	1.3013452	22653.367094278336
109	257086.88	18512.984	285246.78	236879.66	277497.06	23297.28	301631.97	217656.53	1000.0	1000.0	435999	936.3805	936.38055	-932.07587	416.25964	3.9973736	1.3064971	22884.31470298767
110	249602.84	24644.73	275461.78	218964.27	266818.72	38507.984	312868.88	197957.7	1000.0	1000.0	439999	938.144	938.14374	-933.7373	425.71335	4.0012593	1.3275967	23113.694361448288
111	273708.78	25701.664	294096.62	229820.88	267165.22	37600.87	317458.8	193522.73	1000.0	1000.0	443999	943.60535	943.6036	-939.2207	421.7579	3.9962702	1.3384658	23345.670867443085
112	272739.5	8950.844	282608.5	259873.7	275747.7	36671.152	308887.4	171331.89	1000.0	1000.0	447999	946.11426	946.11536	-941.7544	419.8125	3.9973888	1.3111265	23577.097491264343
113	288752.1	9318.569	302022.28	276067.9	282234.44	11357.725	297796.6	260469.03	1000.0	1000.0	451999	948.5207	948.5185	-943.9763	417.30927	4.0048447	1.3631618	23809.00804543495
114	281149.12	23237.947	305138.84	242859.72	256222.45	30573.518	297263.78	210527.39	1000.0	1000.0	455999	951.0137	951.01416	-946.61707	411.95645	3.9996474	1.3157312	24041.662004947662
115	278566.1	6728.978	288421.6	270596.38	258811.95	41682.543	306051.72	177759.77	1000.0	1000.0	459999	954.9457	954.9455	-950.41815	407.71417	3.9994516	1.3423048	24274.19423508644
116	296819.84	6287.661	305904.78	288149.84	286651.44	15579.205	309643.97	264789.4	1000.0	1000.0	463999	957.9997	957.9987	-953.5345	410.48978	4.0029473	1.3337083	24506.34854078293
117	284588.38	12482.399	297710.2	265518.66	280407.2	30441.271	310683.2	206322.02	1000.0	1000.0	467999	962.18726	962.18646	-957.79114	420.72968	4.0002623	1.297143	24737.326436519623
118	284505.44	22397.178	306786.53	248166.67	278440.84	20786.264	302737.38	247022.77	1000.0	1000.0	471999	965.50854	965.5091	-961.0824	421.09805	3.9974022	1.3086058	24970.12291288376
119	270499.06	19117.47	296491.9	246829.06	270439.9	33140.934	304656.75	180080.23	1000.0	1000.0	475999	969.25903	969.25726	-964.562	417.1742	3.9994743	1.3781034	25201.20353770256
120	284471.28	27973.459	302200.3	236055.17	284736.44	18304.793	307599.6	246208.1	1000.0	1000.0	479999	974.0728	974.07416	-969.4405	417.26962	4.0010242	1.340698	25434.38127732277
121	220826.5	51034.484	302323.38	161827.03	268596.38	21158.586	294903.0	221990.1	1000.0	1000.0	483999	976.2596	976.258	-971.6491	422.79932	4.001044	1.3382598	25666.57381606102
122	283878.84	33570.812	312750.38	226933.5	263628.3	23231.883	294657.84	225191.84	1000.0	1000.0	487999	977.87286	977.8716	-973.2365	432.90503	4.0028954	1.3485183	25895.548204421997
123	254910.88	40279.477	312042.78	208245.81	292162.06	13244.389	303068.5	257115.67	1000.0	1000.0	491999	981.3394	981.3393	-976.6883	434.10468	4.0006905	1.3463448	26127.245743751526
124	288878.47	13245.974	301585.56	266633.1	290150.7	17699.686	312597.4	247248.22	1000.0	1000.0	495999	983.8623	983.8592	-979.0303	442.71756	3.988147	1.3985069	26360.671890497208
125	282990.44	9871.807	290470.56	266393.94	284669.22	27586.123	320397.84	231158.34	1000.0	1000.0	499999	988.92535	988.9232	-984.16595	448.45804	4.0102024	1.3639431	26591.734537363052
126	291724.0	9437.486	307531.62	283553.34	281762.8	30317.7	308964.0	210314.22	1000.0	1000.0	503999	990.5876	990.5892	-985.7473	450.99744	3.9908412	1.3776857	26822.529061079025
127	292800.5	9415.097	303000.53	277558.84	285520.3	29129.43	305735.62	201217.44	1000.0	1000.0	507999	993.41016	993.40826	-988.4559	458.80676	4.004647	1.4077791	27052.764023065567
128	259502.81	70199.24	302515.0	137944.3	281960.47	20255.057	304238.53	242185.89	1000.0	1000.0	511999	997.162	997.1608	-992.2342	464.6955	3.9986525	1.4046179	27284.692909002304
129	294307.34	13019.351	307013.16	274845.44	289027.88	12631.809	301886.2	263824.6	1000.0	1000.0	515999	1001.0509	1001.05145	-996.272	463.7402	4.000941	1.3719143	27516.064466238022
130	275229.44	35597.145	308366.22	215349.89	307280.34	10400.097	319045.22	288774.53	1000.0	1000.0	519999	1005.0659	1005.0654	-1000.19385	452.75394	4.003389	1.3961935	27749.384873867035
131	281839.0	21585.438	306507.6	247167.5	292616.38	8333.914	313282.84	280091.7	1000.0	1000.0	523999	1007.7693	1007.76514	-1002.8346	453.9665	3.9994214	1.3970504	27986.128257513046
132	285300.25	17480.209	299679.7	256346.53	287070.06	23202.895	312114.3	244220.34	1000.0	1000.0	527999	1012.10626	1012.10406	-1007.2136	462.74677	4.000941	1.391513	28225.0989484787
133	293081.88	10358.873	307055.34	279270.44	286698.16	28024.201	317425.6	237642.66	1000.0	1000.0	531999	1015.58	1015.58	-1010.5233	461.513	3.9998791	1.4429212	28463.451216459274
134	286837.34	17528.938	307574.22	260976.98	287264.75	19769.852	319788.3	250379.31	1000.0	1000.0	535999	1021.7188	1021.71783	-1016.70917	460.2111	4.0039096	1.4300617	28701.413030147552
135	287674.56	11528.725	302025.78	275688.2	263762.6	69660.12	317460.22	79389.305	1000.0	1000.0	539999	1025.3204	1025.3204	-1020.1625	456.70035	3.998091	1.4555622	28943.649673700333
136	227786.52	77566.4	301182.28	116193.19	284254.56	31582.895	317117.53	206153.58	1000.0	1000.0	543999	1027.9185	1027.9182	-1022.84436	455.20987	3.9966016	1.4494628	29184.437059164047
137	297413.12	6630.23	306666.53	288755.75	241718.7	93245.05	314868.4	74858.234	1000.0	1000.0	547999	1031.6392	1031.6362	-1026.5732	452.3397	3.9987643	1.4451013	29426.68389081955
138	308106.66	4748.9	312545.2	300172.88	267206.56	47737.6	323777.84	153674.58	1000.0	1000.0	551999	1035.097	1035.0962	-1030.0513	440.9053	4.002734	1.4286289	29667.75246334076
