Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
69	150898.94	3801.9836	157454.55	148221.88	157368.64	5837.414	163002.94	140395.48	1000.0	1000.0	275999	518.8341	518.8356	-515.2098	81.152435	1.650075	0.0780654	1.9303615	1.3913791	1.7999997	2.3841858e-07	1.8	1.8	17468.819984197617
70	149563.19	553.15796	150344.22	148813.38	144466.38	30707.385	168861.03	77053.625	1000.0	1000.0	279999	520.10785	520.10986	-516.5034	81.27566	1.6445992	0.06925101	1.881779	1.3962344	1.7999997	2.3841858e-07	1.8	1.8	17719.96978545189
71	148582.19	2407.0078	152235.77	146258.12	158891.02	3154.5012	163821.39	152582.42	1000.0	1000.0	283999	522.9781	522.9793	-519.35583	82.57044	1.6629949	0.06556213	1.930394	1.3919178	1.7999997	2.3841858e-07	1.8	1.8	17970.277935743332
72	151249.52	2693.0132	155029.39	148107.77	152998.1	12618.822	168782.77	130861.2	1000.0	1000.0	287999	524.5068	524.5079	-520.87616	81.730606	1.6515561	0.07549956	1.9529727	1.4256086	1.7999997	2.3841858e-07	1.8	1.8	18223.866587877274
73	146973.78	4781.0635	152164.0	139176.8	136098.53	29530.67	162776.5	85232.95	1000.0	1000.0	291999	527.0683	527.06946	-523.4373	81.76102	1.647114	0.06257594	1.867211	1.3889699	1.7999997	2.3841858e-07	1.8	1.8	18475.51573395729
74	149822.72	2984.5652	153792.92	145872.05	142282.12	32604.09	177132.6	83041.19	1000.0	1000.0	295999	529.78076	529.78186	-526.1601	79.076546	1.6788157	0.082552455	2.0314105	1.3822124	1.7999997	2.3841858e-07	1.8	1.8	18726.10302424431
75	151313.27	4087.1714	156644.53	146265.34	154741.56	20558.41	170675.05	98297.555	1000.0	1000.0	299999	531.1435	531.14435	-527.5049	81.02411	1.6533976	0.07239133	1.9353783	1.4144603	1.7999997	2.3841858e-07	1.8	1.8	18979.268118858337
76	150140.3	2410.5483	152804.22	146547.3	155112.81	18958.955	168050.47	106520.984	1000.0	1000.0	303999	532.53174	532.53357	-528.8873	79.80567	1.632076	0.07378132	1.9147081	1.3888257	1.7999997	2.3841858e-07	1.8	1.8	19229.649844408035
77	142907.7	6830.5728	152824.67	133844.56	162515.92	4359.507	168090.38	151984.3	1000.0	1000.0	307999	534.89496	534.8958	-531.25745	79.676155	1.6813799	0.07341698	1.9670063	1.4705346	1.7999997	2.3841858e-07	1.8	1.8	19482.069889307022
78	147330.53	8538.248	155858.22	133130.34	157264.78	16986.693	181866.77	116775.08	1000.0	1000.0	311999	537.36334	537.36414	-533.7369	80.60405	1.6604304	0.07121169	1.9239907	1.4153473	1.7999997	2.3841858e-07	1.8	1.8	19734.390357732773
