Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
60	4367.0005	68.87888	4459.321	4284.989	4818.126	75.07743	4917.632	4720.3604	1000.0	1000.0	239999	389.83963	389.83948	-388.98953	15.588086	0.93034136	0.046014145	1.1259809	0.74250674	1.4764713	0.042071376	1.581402	1.3803711	4975.889568090439
61	4419.002	112.96116	4528.7847	4263.3623	4861.342	72.956566	4967.2583	4718.233	1000.0	1000.0	243999	391.73764	391.7376	-390.8625	16.245739	0.9335461	0.04646541	1.1086187	0.7734369	1.5082647	0.039823838	1.6008967	1.3853271	5058.890618801117
62	4498.6147	120.06916	4669.2075	4337.092	4964.3135	75.03472	5123.8706	4823.625	1000.0	1000.0	247999	394.20584	394.2057	-393.3324	16.2298	0.94045925	0.048113286	1.1038599	0.7694247	1.5172971	0.03401769	1.5960772	1.4328023	5143.211795806885
63	4527.512	36.689434	4585.134	4493.343	4981.6597	86.24833	5165.2266	4841.569	1000.0	1000.0	251999	397.10248	397.10245	-396.22433	16.488827	0.95804834	0.045727257	1.1296718	0.8101291	1.5203239	0.035678282	1.6505623	1.4447953	5227.084167957306
64	4504.306	130.12306	4647.4624	4341.3066	5019.581	52.21147	5103.6743	4936.368	1000.0	1000.0	255999	400.1689	400.16888	-399.30112	16.999449	0.9748396	0.048116073	1.1492921	0.8161837	1.5343649	0.037080556	1.6250538	1.4510679	5309.311987876892
65	4597.2666	81.595856	4701.72	4516.662	5041.755	112.22792	5239.1924	4854.165	1000.0	1000.0	259999	403.42255	403.4225	-402.59518	16.52111	0.99015623	0.04793861	1.1873189	0.8400101	1.4764612	0.04653308	1.5844412	1.3819228	5393.212534666061
66	4740.007	57.52108	4833.8486	4678.0483	4959.944	88.68652	5057.3047	4790.3926	1000.0	1000.0	263999	406.61548	406.61545	-405.76712	16.931934	0.98971653	0.04835788	1.1645949	0.80359167	1.5012478	0.036658607	1.5893904	1.4084831	5476.709147453308
67	4567.414	109.0256	4718.538	4414.382	5155.239	126.963486	5351.1777	4964.218	1000.0	1000.0	267999	409.72092	409.7209	-408.87042	17.171415	0.9932689	0.047778398	1.1685275	0.8317011	1.5159682	0.030736884	1.606778	1.4391001	5557.329263210297
68	4813.266	74.2953	4934.4834	4732.316	5270.5703	115.17085	5497.5713	5021.3765	1000.0	1000.0	271999	412.96875	412.9687	-412.11374	17.21265	1.0036372	0.04997234	1.21782	0.82642925	1.5219424	0.03280933	1.627361	1.4472083	5643.725558519363
69	4749.5537	135.65175	4910.7305	4539.0063	5384.874	118.24936	5578.703	5204.037	1000.0	1000.0	275999	416.3484	416.34845	-415.497	17.699348	1.0186981	0.050433036	1.2003617	0.8534346	1.5274214	0.039186385	1.6333393	1.446924	5727.410142183304
70	4905.0723	88.13977	5034.508	4789.406	5137.734	506.76605	5487.3247	3678.5881	1000.0	1000.0	279999	420.26016	420.26007	-419.45593	17.96282	1.0427356	0.049938038	1.2495143	0.87131375	1.5116494	0.039776757	1.629651	1.4169184	5813.807361364365
71	4949.048	57.08373	5046.3677	4904.6064	5343.251	74.79118	5454.7856	5222.6304	1000.0	1000.0	283999	424.93655	424.93665	-424.14117	18.412497	1.0655124	0.05202412	1.2697349	0.87855136	1.5220549	0.049640585	1.6547289	1.4028713	5899.154591083527
72	5132.1396	58.838524	5190.8022	5041.4004	5544.616	131.35269	5731.58	5267.848	1000.0	1000.0	287999	430.4387	430.43857	-429.66638	18.718102	1.0938445	0.053160857	1.3120102	0.93451726	1.5151677	0.04510067	1.6498169	1.4415566	5983.194510936737
